女书字符	汉字	《字帖》序	土话代表发音	图片散列值（Hash）	备注
𛊨	行衔咸黄寒皇杭含韩烦	309	hang42	7ad1e28c3e5c7c649bd5d18e79e8b987	
𛊩	想响相恐抢	310	siang35	93eb2cef1fad25126bf78546d80ffd0d	
𛊪	层长像象重丈仗种帐众奏皱灶皂造降颂	312	tciang13	99b2a336e89bf97fad7c4ec6a03dd283	
𛊫	鸳鸯秧英婴烟染	313	iang44	d1ebb290c91dfcfa3701b3731e7f49b8	
𛊬	梅眠媒棉绵枚	315	meng42	a934b61d664a3ded041c5f7f998fe960	
𛊭	停廷亭庭厅清情晴青	268	tsiong42	923b6281aa7031f96110f993f2331bae	
𛊮	姓性幸犯岁鸭	316	siong21	50126e0a8225e5c6847e066140966587	
𛊯	穿川轻卿倾	317	tchiong44	da95949e6c4258942e106eeed35a2c42	
𛊰	悲碑被婢备避拔辈斑贝	318	pa33	0cb67f32106e4d7369fb26924d0b56e5	
𛊱	脱	349	tshie5	6f7a735b8ddf4e214851216aaa3e7f9c	
𛊲	惜昔肯恨憾	319	sie5	bd83c1c4e467051087f4ab58a73233c7	
𛊳	灾斋	320	tsoe44	8e4cdcaa3a4b6b8c7a3c961b7e2ac85a	
𛊴	解矮且	321	koe35	7c3d66e7df4fd32d9dbb2823753ab1f6	
𛊵	尊遵诸遮军君均居闺裙	322	tcye44	c5f444f6753054666024d2dc7c0237b8	
𛊶	存巡膝袖竹罪最蔗尊炙转跨裤俊军郡裙	323	tcye42	73656ab886a7161f466f5c71459629eb	
𛊷	把	324	pwe35	768469ce27740211903832e84a0eb5b6	
𛊸	屎思司丝师诗私狮尸施斯恩	325	swe44	1c76dd6619ffd9a50c33a1265fe89370	
𛊹	啼提	326	ti42	ed093cc505bb9fe6ad58221087c17bbc	
𛊺	移姨摇窑油游依	327	i42	e752082c6b4db38bb5d2d1a1a00d8dc1	
𛊻	朝场肠长重渐其墙桥茄乔骑奇旗期棋麒祁强	335	tciu42	c50b2b5836c251fc20643e831203062f	
𛊼	痴稀希食烧岁失属输淑欺	336	ciu44	0ebdde7ce105e0bdbc707f49ed494384	
𛊽	祖组阻赌	328	tsu35	4fa813a9e340c9db1a72a743e0d6dc2d	
𛊾	骂初粗差操鬚租宅助梳疏纱沙杉苏蓑蔬	329	tshu35	cffbfc743fa8d7cc2f29c10fc269c890	
𛊿	孤姑锅估改	330	ku44	f4bf5a28ba6466f88f3ad9d46eb92069	
𛋀	德得答	331	lw5	ee9a7b7e855d8488b85436ae66c65548	
𛋁	门闻	332	mai42	039b70e1c48cba7b97fce48b2418bca4	
𛋂	篮高糕篙哥孤勾钩沟稿敲	333	kau44	5d2da19664f7c945a27c46c1245e692f	
𛋃	兜透痛探偷贪滔	334	thou21	76e2909e43c3af6178612f7769bcce85	
𛋄	候喊	342	hou33	6aa676826591753be4a432564f920873	
𛋅	螃环房妨逢防纺访盘旁亡玩	339	pang42	3c1ef93f65febfe8ce626c1d52aed00f	
𛋆	宾冰掰风妨封分份凭问	343	fang44	77b7e5ec52f70f72dce509c0321379cb	
𛋇	断地段缎短端	340	tang13	1012db0955839fc6cbabfd4d3e912776	
𛋈	浪乱短党端断	337	lang33	354a24815a864d52afc3a4c601ad7e53	
𛋉	墨妹面免敏梅枚	338	meng33	b15ea800a7a4ffd687c109e9bfc8b352	
𛋊	殿电垫佃田恬填甜	341	teng42	f8e34dc41b48bfe47b2deed9b67da17d	
𛋋	贱尖箭严然前钱浅泉	344	tseng42	70c077ab323e2272412e6fb91e67a7f9	
𛋌	现善扇	345	cing13	4fc1c928c01d55f1876d2e3af72b3605	
𛋍	默蔫盈阎盐炎严赢郁抑迎忧延仍	346	ing42	fe23bf605facbd3810be8dc1253cb4b3	
𛋎	浸	347	tsa33	a9faa1e03a0a9bd815e3695599e45a4d	
𛋏	借	350	tsie21	4d3a309d42e5831c0fabff070845d22a	
𛋐	兴虚胜甚剩	351	cie21	fcfc9831eeb5e07fab4ac4a91bc25597	
𛋑	埋	348	moe42	e45334c97c9a1c9dc893514e47b35187	
𛋒	鸟煮底抵越体桶主	353	li35	802b9267a3b1f26137a27b983cf76faf	
𛋓	猫茅苗拆策直指摘责节接借截实	360	tsi5	a38c0981632354b128321b6010af7140	
𛋔	朝嬉招直值置蛰这娇鸡饥机基稽轿急及极忌寂居俱绝襟金闺麒	352	tci44	7c16d931f1c3b6077adaee8891ebbec0	
𛋕	倚椅依扰	354	i35	c72d1fca91f35e29fd83262863be1fa3	
𛋖	莫	355	mu33	ee8275b3fd91cfdcf2c7e7253fa21244	
𛋗	路露禄腊芦炉卢庐鲁鸬掳妒都	357	lu21	d1e5a5728f67ef30fdb02e129703391c	
𛋘	湖河胡壶	358	hu42	2d0078ad5bcfdc73183c608632d8cd3e	
𛋙	辰承乘晨神树赎深丞绍殊竖	362	cyu33	1bc59d27e0ac6b441274666d6003cee7	
𛋚	黑害	361	hw5	3119bacacfef11248740f083d1795fbb	
𛋛	道稻豆	359	tau13	e5134d7ba37af54dc02ea1b4f823d8a4	
𛋜	绣秀	363	siou21	b2f5e581066586d960cbbce2a6753d72	
𛋝	落洛	365	lew33	ad5244e3f5d54511493868ce6824e76f	
𛋞	错	364	tshew5	12346e0862f7fd0011fb5a777faafcec	
𛋟	县远冤渊愿怨往	366	yn13	2ec26772442efc5ff7344bc7ae4767c8	
𛋠	淡潭	367	tong13	9cdd44aed179a492a897069168ef9cd2	
𛋡	吃饮隐	368	ie35	d68a7a3175ff9666b9eb7c48ba1ed762	
𛋢	挖	369	voe5	1642039b54cce6f9ac390c3a7f2bb1e2	
𛋣	慈辞池持迟	370	tswe21	d910ed432d3adf1573082bd0178a7403	
𛋤	既意以已	371	i21	1503e4d22b37ab3b7b3fcb02e794dbd1	
𛋥	舂独毒达度渡窦肚读薯榻踏屠图	372	tu33	45c4eadd7c72663e4cb70cce24b2acd4	
𛋦	堵赌	356	lu35	fdfd9ab38c25b9f47d9c925efad5341d	
𛋧	乐漏兜蔸	373	lou33	56111a064557d8ce545681f5512c6acb	
𛋨	爱	379	tsou42	5557e33e978bab5d22d85022794b700c	
𛋩	争	374	tsuow44	db052fe73e00de86e0fe123a208e1b15	
𛋪	美满梦摸摩蒙判胖网	375	mang13	0552865257bf409677a43c2eff41c072	
𛋫	总困贵挂怪跪更棍桂拐	378	tciang33	4947b1861a1e50a5e4415484dc86ecc8	
𛋬	唱铳仗	376	tchiang21	54d5dba9b82e4635dcd2b8c396b09729	
𛋭	正惊京荆精兢	377	tciong44	a52f633f63521196d2062a9ec30ec422	
𛋮	谢席夕阵借笛碟敌	380	tsie33	70e1186acdf6c53cc7744c5ed2914ade	
𛋯	卖袜	381	moe33	6027210f1f04d8437aa00dd26552e08a	
𛋰	科考歌哥孤姑戈	383	ku44	8d7a52415e2ef976c51c6c5202a855ce	
𛋱	许主暑鼠	384	cyu35	7c10330a793951f5e16241da191ec760	
𛋲	背	382	pw21	66cf8bc59accd49abdc9295a02f51d07	
𛋳	沉从长层蚕辞曹巢陈曾昨遭僧	385	tsiang42	18564091eb612304524a6da8d5599aba	
𛋴	葱踩抄操推妻亲侵凄	386	tshai44	38f294b32e11f4b3cb60510361364061	
𛋵	眼	387	nguow13	74d6407a3534b4b497dc9bf62910d7af	
𛋶	会活或话画悔患给佛罚范	388	nong44	35f5680a341853ccf700b57fb9c21a1c	
𛋷	博忽福复幅腹斧魄	389	fu5	592b8517d0778a5116fbba83cad85c07	
𛋸	谷穀鸽歌	390	ku5	b5c24858ea56252052d6124446bd3ee1	
𛋹	凤	391	fang33	4be3ef6ae3183ca0d296449be5a73f6a	
𛋺	转渐眷	392	tcye21	e2a67be706ea0199d6ed77a07b3c4a1d	
𛋻	费	393	fi21	b71dd264e623808dbeb00d15ef1d1bd6	
