女书字符	汉字	《字帖》序	土话代表发音	图片散列值（Hash）	备注
𛆶	他曲	70	twe33	37678fb4f2be9b1c0b49202cb96f6b6c	
𛆷	之滋支	72	tswe44	70504857efe9797ea071fc4b0abe630d	
𛆸	匙时	73	swe42	833a4fa92ca15eb850cce6d8aab9346b	
𛆹	赐士是氏仕十事实侍师诗尸狮视市示史	74	swe13	e3c1d911a6464ec4617b62f942c8caa7	
𛆺	主爪己几纪举缴	75	tci35	74f6767020fb0478001e782e36ae35a9	
𛆻	彻喜枕种肿紧锦少起砌	111	ci35	606e8c25916dddb4837e956912937eb3	
𛆼	一以叶	76	i5	2f66a9d5518bd38c1c5540158a597105	
𛆽	猪绿料旅驴	77	liu44	12d97bb990292c566e91b85a356e49e3	
𛆾	尿	78	njiu33	5caa12a5a212a90ebc1b34d0ab02591b	
𛆿	少稍	79	ciu35	ed65fd3f1f11eb68d40982a93605498c	
𛇀	母马木目墓麦磨麻亩牡	80	mu13	4b9faafb8b93c77b2461f580feb6efac	
𛇁	拿夜又也右佑亦忧要匀若	81	yu44	00dbd1caa75cd85b52879d3ef0f2955b	
𛇂	翠去趣欺取娶区	82	tchy21	80b95a2a5230f97708a30d7f8ef5db75	
𛇃	月遇外	83	njy33	779277322cb93e1e3628e8679612afa2	
𛇄	余移欲愚与入如	84	y42	58ed56f3f9a984fe6b882eb5cdeccd10	
𛇅	本表	85	pai35	f0a0c88224378c297cfbf4049f936c84	
𛇆	惭正帐政转整诊拯镜敬竟卷眷京惊渐颈景井警	89	pai35	693f5af8cfac2c7c81f3880b69f06818	
𛇇	怜林淋麟劳僚	87	lai42	ecb6aae5b3ea4f8dea104626dd82be7e	
𛇈	日入儿而尔恩	86	ai42	21e0ca600426c9a67f26d459b40cdc93	
𛇉	口肯好搞	88	hau35	3f96df8e1394e88e4e27bdaf643e612f	
𛇊	脑投头套	90	tou42	3ea398191dde7d98940a1a6ca8a0a5c2	
𛇋	柳流留刘榴溜	91	liou42	55e46985f81fa5c13a021fe2baf4c2bc	
𛇌	后後	92	iou13	3302084f55bfc175d79c0fff4d94d73d	
𛇍	作左	94	tsew35	b71ffb880389921c9a535112f37789ed	
𛇎	坐做作综	93	tsew21	32c19f91c2aefef272cd1e8e62539bf8	
𛇏	生山甥牲笙衫梭馊腮	95	suow44	3c04a50b487650074119a7962a6f546c	
𛇐	行闲相杏限幸还衡烦	97	huow42	5a248338e4050f108d6f90e90792f775	
𛇑	反	96	huow35	7bbf35d1bc12bed8f5f4140fcdf59cc5	
𛇒	外稳	148	nguw33	30bc911e5ac96a9d5bc8ccae30f442ec	
𛇓	眉忙茫蒙盲瞒迷眯蛮	98	mang42	40afcf089495447d5127fb32b8eb6d80	
𛇔	汤	101	thang44	cb8a6749c9efda44b23d990710f0359a	
𛇕	间减烘光官刚功肝冠钢干冈甘棺岗缸柑观公关馆赶敢管感广杆	99	kang44	9239aec3bbaecad238154186483952d9	
